altaic	khitan	KHA
baltic	old_prussian	PRU
british	anglo_saxon	ENG
gaelic	pictish	SCO
caucasian	alan	GEO
finno_ugric	komi	FIN
finno_ugric	mordvin	FIN
finno_ugric	khanty	FIN
germanic	german	GER
germanic	frankish	FRA
germanic	suebi	POR
germanic	frisian	NED
iberian	visigothic	CAS
iranian	sogdian	KHO
iranian	tocharian	KAS
israelite	ashkenazi	ISR
israelite	sephardi	ISR
latin	italian	ITA
latin	roman	ITA
lost_cultures_group	equine	TRL
oghuz	pecheneg	KAZ
oghuz	cuman	KAZ
oghuz	bolghar	KAZ
oghuz	avar	KAZ
oghuz	khazar	KAZ
oghuz	karluk	UZB
scandinavian	norse	DAN
east_slavic	ilmenian	NOV
east_slavic	volhynian	KIE
east_slavic	severian	KIE
east_slavic	russian_culture	RUS
